Field ID,Year,Sprays,Herbicide Sprays,Fungicide Cost,Herbicide Cost
15,2016,0.0,1,0.0,33.185255755082196
16,2016,0.0,1,0.0,33.185255755082196
17,2016,0.0,1,0.0,33.185255755082196
18,2016,0.0,1,0.0,33.185255755082196
19,2016,0.0,1,0.0,33.185255755082196
21,2016,0.0,0,0.0,0.0
22,2016,0.0,0,0.0,0.0
23,2016,0.0,1,0.0,33.185255755082196
24,2016,0.0,1,0.0,33.185255755082196
25,2016,0.0,0,0.0,0.0
26,2016,0.0,0,0.0,0.0
27,2016,0.0,0,0.0,0.0
28,2016,0.0,0,0.0,0.0
29,2016,0.0,1,0.0,33.185255755082196
30,2016,0.0,0,0.0,0.0
31,2016,0.0,1,0.0,33.185255755082196
32,2016,0.0,1,0.0,33.185255755082196
33,2016,0.0,1,0.0,33.185255755082196
34,2016,0.0,1,0.0,33.185255755082196
35,2016,0.0,1,0.0,33.185255755082196
36,2016,1.0,1,66.33681974382924,33.185255755082196
37,2016,1.0,1,66.33681974382924,33.185255755082196
38,2016,0.0,1,0.0,33.185255755082196
39,2016,0.0,1,0.0,33.185255755082196
40,2016,0.0,2,0.0,66.37051151016439
41,2016,0.0,2,0.0,66.37051151016439
42,2016,0.0,2,0.0,66.37051151016439
43,2016,0.0,2,0.0,66.37051151016439
44,2016,0.0,2,0.0,66.37051151016439
45,2016,0.0,2,0.0,66.37051151016439
46,2016,0.0,2,0.0,66.37051151016439
47,2016,0.0,1,0.0,33.185255755082196
48,2016,0.0,2,0.0,66.37051151016439
49,2016,0.0,2,0.0,66.37051151016439
50,2016,0.0,2,0.0,66.37051151016439
51,2016,0.0,2,0.0,66.37051151016439
53,2016,0.0,0,0.0,0.0
54,2016,0.0,0,0.0,0.0
55,2016,0.0,0,0.0,0.0
56,2016,0.0,0,0.0,0.0
58,2016,0.0,0,0.0,0.0
59,2016,0.0,0,0.0,0.0
60,2016,0.0,1,0.0,33.185255755082196
61,2016,0.0,1,0.0,33.185255755082196
62,2016,0.0,1,0.0,33.185255755082196
63,2016,0.0,1,0.0,33.185255755082196
64,2016,0.0,1,0.0,33.185255755082196
65,2016,0.0,1,0.0,33.185255755082196
66,2016,0.0,1,0.0,33.185255755082196
67,2016,0.0,1,0.0,33.185255755082196
68,2016,0.0,1,0.0,33.185255755082196
69,2016,0.0,1,0.0,33.185255755082196
