Year,V6 Percent,Initial Probability,Quantile,Mean Profit Percent Change,Sprays in May,Market Demand,Simulation
2014,0.0,0.001,0.2,-0.38582894875420065,6,high,0
2014,0.0,0.001,0.2,-0.7086252733900378,7,high,0
2014,0.0,0.001,0.2,-0.5137203026115312,8,high,0
2014,0.0,0.001,0.2,-0.3474537528680249,9,high,0
2014,0.0,0.001,0.2,-0.4605969577204457,10,high,0
2014,0.0,0.001,0.4,-0.20462624384719325,0,high,0
2014,0.0,0.001,0.4,-0.25897239264931127,1,high,0
2014,0.0,0.001,0.4,-0.3566790160774398,2,high,0
2014,0.0,0.001,0.4,-0.35037193498811453,3,high,0
2014,0.0,0.001,0.4,-0.37256127756476815,4,high,0
2014,0.0,0.001,0.4,-0.6396007800748963,5,high,0
2014,0.0,0.001,0.4,-0.642311420996128,6,high,0
2014,0.0,0.001,0.4,-0.7082852899067201,7,high,0
2014,0.0,0.001,0.4,-0.50892479320297,8,high,0
2014,0.0,0.001,0.4,-0.7435637733550677,9,high,0
2014,0.0,0.001,0.4,-0.8768837643135777,10,high,0
2014,0.0,0.001,0.6,-0.17924585336755422,0,high,0
2014,0.0,0.001,0.6,-0.26725129079393545,1,high,0
2014,0.0,0.001,0.6,-0.16231395611345711,2,high,0
2014,0.0,0.001,0.6,-0.33268843732791775,3,high,0
2014,0.0,0.001,0.6,-0.38743347799884076,4,high,0
2014,0.0,0.001,0.6,-0.4543893471188276,5,high,0
2014,0.0,0.001,0.6,-0.5389419175687434,6,high,0
2014,0.0,0.001,0.6,-0.6858368651827709,7,high,0
2014,0.0,0.001,0.6,-0.6321501368498713,8,high,0
2014,0.0,0.001,0.6,-0.5794197112233426,9,high,0
2014,0.0,0.001,0.6,-0.8420607609068163,10,high,0
2014,0.0,0.001,0.8,-0.2283603917938513,0,high,0
2014,0.0,0.001,0.8,-0.24437276478518852,1,high,0
2014,0.0,0.001,0.8,-0.3596655678148144,2,high,0
2014,0.0,0.001,0.8,-0.3236112633984792,3,high,0
2014,0.0,0.001,0.8,-0.4113810707926341,4,high,0
2014,0.0,0.001,0.8,-0.5720555503461318,5,high,0
2014,0.0,0.001,0.8,-0.7255087598147503,6,high,0
2014,0.0,0.001,0.8,-0.7462742534418035,7,high,0
2014,0.0,0.001,0.8,-0.7106914941108768,8,high,0
2014,0.0,0.001,0.8,-0.7425148606620556,9,high,0
2014,0.0,0.001,0.8,-0.9988653304995141,10,high,0
2014,0.0,0.001,1.0,-0.19067713296965974,0,high,0
2014,0.0,0.001,1.0,-0.03292884796846024,1,high,0
2014,0.0,0.001,1.0,-0.37861430914712324,2,high,0
2014,0.0,0.001,1.0,-0.27898433213877855,3,high,0
2014,0.0,0.001,1.0,-0.5743176219163896,4,high,0
2014,0.0,0.001,1.0,-0.6093986460023845,5,high,0
2014,0.0,0.001,1.0,-0.8620436533909256,6,high,0
2014,0.0,0.001,1.0,-0.8616813663772923,7,high,0
2014,0.0,0.001,1.0,-0.9417743378150871,8,high,0
2014,0.0,0.001,1.0,-1.1333321605192923,9,high,0
2014,0.0,0.001,1.0,-1.147504447300807,10,high,0
2014,0.0,0.005,0.2,-0.169096551576617,0,high,0
2014,0.0,0.005,0.2,-0.25873297000604406,1,high,0
2014,0.0,0.005,0.2,-0.2402284379557181,2,high,0
2014,0.0,0.005,0.2,-0.35834453357876195,3,high,0
2014,0.0,0.005,0.2,-0.28010271150443694,4,high,0
2014,0.0,0.005,0.2,-0.36011438316906735,5,high,0
2014,0.0,0.005,0.2,-0.3780110173140772,6,high,0
2014,0.0,0.005,0.2,-0.5058573392812491,7,high,0
2014,0.0,0.005,0.2,-0.5340116507503542,8,high,0
2014,0.0,0.005,0.2,-0.7112590306962971,9,high,0
2014,0.0,0.005,0.2,-0.6211046282865856,10,high,0
2014,0.0,0.005,0.4,-0.4273617977003738,0,high,0
2014,0.0,0.005,0.4,-0.3635957910271082,1,high,0
2014,0.0,0.005,0.4,-0.29414719118700816,2,high,0
2014,0.0,0.005,0.4,-0.45207780004593134,3,high,0
2014,0.0,0.005,0.4,-0.29188127454248974,4,high,0
2014,0.0,0.005,0.4,-0.7813419185668169,5,high,0
2014,0.0,0.005,0.4,-0.627712752125848,6,high,0
2014,0.0,0.005,0.4,-0.6699107000981889,7,high,0
2014,0.0,0.005,0.4,-0.784421787535279,8,high,0
2014,0.0,0.005,0.4,-0.5766816104656155,9,high,0
2014,0.0,0.005,0.4,-0.9710019151890501,10,high,0
2014,0.0,0.005,0.6,-0.4841680931231514,0,high,0
2014,0.0,0.005,0.6,-0.25633185550469695,1,high,0
2014,0.0,0.005,0.6,-0.27117105693504273,2,high,0
2014,0.0,0.005,0.6,-0.3241446532215255,3,high,0
2014,0.0,0.005,0.6,-0.45577826856218623,4,high,0
2014,0.0,0.005,0.6,-0.518324025334283,5,high,0
2014,0.0,0.005,0.6,-0.4454210217988843,6,high,0
2014,0.0,0.005,0.6,-0.808490194769858,7,high,0
2014,0.0,0.005,0.6,-0.5982216239018949,8,high,0
2014,0.0,0.005,0.6,-0.8707974298488222,9,high,0
2014,0.0,0.005,0.6,-0.6615418599940367,10,high,0
2014,0.0,0.005,0.8,-0.4252541918709719,0,high,0
2014,0.0,0.005,0.8,-0.12242870030682805,1,high,0
2014,0.0,0.005,0.8,-0.45421447659082714,2,high,0
2014,0.0,0.005,0.8,-0.45761343310389524,3,high,0
2014,0.0,0.005,0.8,-0.6067383927961931,4,high,0
2014,0.0,0.005,0.8,-0.5151199655016325,5,high,0
2014,0.0,0.005,0.8,-0.6814691278466419,6,high,0
2014,0.0,0.005,0.8,-0.47827874732804126,7,high,0
2014,0.0,0.005,0.8,-0.6984479232684473,8,high,0
2014,0.0,0.005,0.8,-0.7908302470688451,9,high,0
2014,0.0,0.005,0.8,-1.0502367950869012,10,high,0
2014,0.0,0.005,1.0,-0.5266321434703147,0,high,0
2014,0.0,0.005,1.0,-0.44808484834066686,1,high,0
2014,0.0,0.005,1.0,-0.5996609451900101,2,high,0
2014,0.0,0.005,1.0,-0.4659288667887611,3,high,0
2014,0.0,0.005,1.0,-0.5717650313048209,4,high,0
2014,0.0,0.005,1.0,-0.6027462178619386,5,high,0
2014,0.0,0.005,1.0,-0.8741224672934287,6,high,0
2014,0.0,0.005,1.0,-0.8549641443562412,7,high,0
2014,0.0,0.005,1.0,-1.043666262624775,8,high,0
2014,0.0,0.005,1.0,-1.1813808313316585,9,high,0
2014,0.0,0.005,1.0,-1.3315965007845572,10,high,0
2014,0.0,0.01,0.2,-0.38578735453599405,0,high,0
2014,0.0,0.01,0.2,-0.35550898375610446,1,high,0
2014,0.0,0.01,0.2,-0.5274817673554304,2,high,0
2014,0.0,0.01,0.2,-0.22659385234424395,3,high,0
2014,0.0,0.01,0.2,-0.41643788733668613,4,high,0
